Trace,lru,opt,srrip,hwc 80 50 curr hotter,hwc 80 50 curr hotter lru
client_001,1.53552,1.53552,1.53552,1.53552,1.53552
client_002,1.82138,1.82149,1.82169,1.82167,1.82171
client_003,1.10401,1.10651,1.10514,1.10546,1.1061
client_004,1.45189,1.45835,1.45142,1.4465,1.44886
client_005,1.3534,1.35778,1.35565,1.36069,1.36467
client_006,1.46429,1.46427,1.46428,1.46408,1.46402
client_007,1.53779,1.53633,1.5374,1.532,1.53488
client_008,1.51155,1.51323,1.51159,1.51408,1.51187
server_001,1.51091,1.51082,1.51035,1.51046,1.5106
server_002,1.38261,1.38261,1.38261,1.38261,1.38261
server_003,1.36334,1.37787,1.36623,1.37298,1.37968
server_004,1.05492,1.06473,1.05938,1.06178,1.06332
server_009,1.11353,1.11572,1.11134,1.1185,1.11891
server_010,1.35817,1.36407,1.36081,1.32576,1.36423
server_011,1.64496,1.66396,1.65209,1.65404,1.65767
server_012,1.89671,1.9078,1.90286,1.90893,1.9076
server_013,1.80677,1.83237,1.82145,1.835,1.83321
server_014,1.42186,1.42388,1.42252,1.42369,1.42259
server_015,1.48474,1.48474,1.48474,1.48474,1.48474
server_016,1.85574,1.85574,1.85574,1.85574,1.85574
server_017,0.414121,0.414165,0.414165,0.414165,0.414165
server_018,0.423425,0.423425,0.423425,0.423425,0.423425
server_019,0.40707,0.407122,0.407122,0.407122,0.407122
server_020,0.426659,0.426659,0.426659,0.426659,0.426659
server_021,0.430375,0.430375,0.430375,0.430375,0.430375
server_022,0.431864,0.431864,0.431864,0.431864,0.431864
server_023,1.66883,1.66884,1.66883,1.66883,1.66883
server_024,1.6367,1.6367,1.6367,1.6367,1.6367
server_025,1.62791,1.62791,1.62791,1.62791,1.62791
server_026,1.62345,1.62345,1.62345,1.62345,1.62345
server_027,1.61424,1.61424,1.61424,1.61424,1.61424
server_028,1.53557,1.53557,1.53557,1.53557,1.53557
server_029,1.51549,1.51549,1.51549,1.51549,1.51549
server_030,1.59908,1.59908,1.59908,1.59908,1.59908
server_031,1.49432,1.49432,1.49432,1.49432,1.49432
server_032,1.61641,1.61641,1.61641,1.61641,1.61641
server_033,1.72669,1.72669,1.72669,1.72669,1.72669
server_034,1.83106,1.83106,1.83106,1.83106,1.83106
server_035,1.33408,1.33408,1.33408,1.33408,1.33408
server_036,1.74447,1.74497,1.74495,1.74497,1.74496
server_037,1.74001,1.74001,1.74001,1.74001,1.74001
server_038,1.74469,1.74469,1.74469,1.74469,1.74469
server_039,1.66686,1.66686,1.66686,1.66686,1.66686
spec_gcc_001,1.48796,1.48975,1.49084,1.48408,1.48638
spec_gcc_002,0.228208,0.228208,0.228208,0.228208,0.228208
spec_gcc_003,0.261273,0.261273,0.261273,0.261273,0.261273
spec_gobmk_001,1.42598,1.42603,1.42594,1.42609,1.42602
spec_gobmk_002,1.69165,1.69135,1.69152,1.69151,1.69153
spec_perlbench_001,1.6603,1.66064,1.66047,1.66059,1.66058
spec_x264_001,3.1693,3.1693,3.1693,3.1693,3.1693
