Trace,lru,opt,srrip,hwc 80 50 curr hotter,hwc 80 50 curr hotter lru
client_001,1.53552,1.53549,1.53551,1.53548,1.53549
client_002,1.817,1.82031,1.81874,1.82064,1.82032
client_003,1.1037,1.10444,1.10388,1.10422,1.1051
client_004,1.4451,1.46205,1.44874,1.44725,1.45202
client_005,1.35115,1.35864,1.35341,1.35924,1.3623
client_006,1.46334,1.46337,1.46319,1.46296,1.46345
client_007,1.53764,1.53491,1.53942,1.5323,1.53568
client_008,1.5108,1.51275,1.51105,1.51234,1.51232
server_001,1.4981,1.50647,1.50243,1.50583,1.50468
server_002,1.38261,1.38261,1.38262,1.38261,1.38261
server_003,1.35018,1.37857,1.35602,1.36693,1.3725
server_004,1.03969,1.06112,1.05002,1.05736,1.05898
server_009,1.09719,1.1096,1.10261,1.11024,1.11094
server_010,1.32669,1.35709,1.34271,1.35571,1.35522
server_011,1.61423,1.65447,1.62234,1.6435,1.64576
server_012,1.8407,1.89419,1.87511,1.8899,1.89099
server_013,1.7655,1.81736,1.79244,1.80991,1.80959
server_014,1.41923,1.42348,1.42114,1.42262,1.42159
server_015,1.48475,1.48474,1.48475,1.48474,1.48474
server_016,1.85537,1.85519,1.85535,1.85556,1.85563
server_017,0.414121,0.414165,0.414165,0.414165,0.414165
server_018,0.423425,0.423425,0.423425,0.423425,0.423425
server_019,0.407122,0.407122,0.407122,0.407122,0.407122
server_020,0.426659,0.426659,0.426659,0.426659,0.426659
server_021,0.430375,0.430375,0.430375,0.430375,0.430375
server_022,0.431864,0.431864,0.431864,0.431864,0.431864
server_023,1.66815,1.66813,1.66816,1.66861,1.6686
server_024,1.6366,1.63663,1.6366,1.63671,1.63683
server_025,1.62789,1.62755,1.6276,1.6278,1.62781
server_026,1.62306,1.62319,1.62303,1.62317,1.62332
server_027,1.61418,1.61416,1.61405,1.61418,1.61422
server_028,1.53557,1.53557,1.53557,1.53557,1.53557
server_029,1.51547,1.51548,1.51545,1.51549,1.51549
server_030,1.59911,1.59908,1.59903,1.59908,1.59908
server_031,1.4943,1.49432,1.49447,1.49431,1.49432
server_032,1.61641,1.61641,1.61641,1.61641,1.61641
server_033,1.72671,1.72672,1.72669,1.7267,1.7267
server_034,1.83105,1.83105,1.83106,1.83105,1.83105
server_035,1.33408,1.33408,1.33408,1.33408,1.33408
server_036,1.74427,1.74496,1.74476,1.74496,1.74495
server_037,1.74001,1.74001,1.74001,1.74001,1.74001
server_038,1.74469,1.74469,1.74469,1.74469,1.74469
server_039,1.66686,1.66686,1.66686,1.66686,1.66686
spec_gcc_001,1.48981,1.48839,1.49027,1.48416,1.48777
spec_gcc_002,0.228208,0.228209,0.228208,0.228208,0.228208
spec_gcc_003,0.261273,0.261273,0.261273,0.261273,0.261273
spec_gobmk_001,1.42596,1.42587,1.42599,1.42598,1.42599
spec_gobmk_002,1.69168,1.69124,1.69155,1.69141,1.69154
spec_perlbench_001,1.6588,1.65981,1.65865,1.65975,1.65968
spec_x264_001,3.1693,3.1693,3.1693,3.1693,3.1693
