Trace,opt,srrip,hwc 80 50 curr hotter,hwc 80 50 curr hotter lru
client_001,0.0,0.0,0.0,0.0
client_002,0.006039376736323804,0.017020061711451342,0.015921993213931274,0.01811813020895922
client_003,0.22644722420994093,0.10235414534289322,0.13133939004177259,0.1893098794395112
client_004,0.4449372886375781,-0.03237159839932574,-0.3712402454731423,-0.20869349606374218
client_005,0.3236293778631632,0.16624796808039644,0.5386434165804654,0.8327176001182292
client_006,-0.0013658496609367696,-0.0006829248304683848,-0.014341421439745096,-0.018438970422525076
client_007,-0.09494144193940765,-0.025361070107094624,-0.3765143485131235,-0.189232600029911
client_008,0.11114418973901795,0.002646290231883828,0.16737785716649423,0.021170321855055935
server_001,-0.005956675116315563,-0.03706375627932133,-0.029783375581607208,-0.0205174365117732
server_002,0.0,0.0,0.0,0.0
server_003,1.0657649595845446,0.21197940352370348,0.7070870069095084,1.198527146566522
server_004,0.9299283357979632,0.4227808743790911,0.6502862776324144,0.7962689113866419
server_009,0.1966718453925926,-0.19667184539257268,0.44632834319687315,0.4831481863982257
server_010,0.43440806379170455,0.19437920142544568,-2.386299211438925,0.4461886214538647
server_011,1.1550432837272717,0.4334451901566045,0.5519891061180805,0.7726631650617644
server_012,0.5846966589515553,0.32424566749793593,0.6442735051747563,0.5741520843987783
server_013,1.4168931297287461,0.8124996540788272,1.5624567598532175,1.4633849355479678
server_014,0.14206743279930042,0.04641807210274605,0.12870465446668436,0.05134120096212844
server_015,0.0,0.0,0.0,0.0
server_016,0.0,0.0,0.0,0.0
server_017,0.010624913974415326,0.010624913974415326,0.010624913974415326,0.010624913974415326
server_018,0.0,0.0,0.0,0.0
server_019,0.012774215736850295,0.012774215736850295,0.012774215736850295,0.012774215736850295
server_020,0.0,0.0,0.0,0.0
server_021,0.0,0.0,0.0,0.0
server_022,0.0,0.0,0.0,0.0
server_023,0.0005992222095759012,0.0,0.0,0.0
server_024,0.0,0.0,0.0,0.0
server_025,0.0,0.0,0.0,0.0
server_026,0.0,0.0,0.0,0.0
server_027,0.0,0.0,0.0,0.0
server_028,0.0,0.0,0.0,0.0
server_029,0.0,0.0,0.0,0.0
server_030,0.0,0.0,0.0,0.0
server_031,0.0,0.0,0.0,0.0
server_032,0.0,0.0,0.0,0.0
server_033,0.0,0.0,0.0,0.0
server_034,0.0,0.0,0.0,0.0
server_035,0.0,0.0,0.0,0.0
server_036,0.02866200049298325,0.027515520473269012,0.02866200049298325,0.028088760483132497
server_037,0.0,0.0,0.0,0.0
server_038,0.0,0.0,0.0,0.0
server_039,0.0,0.0,0.0,0.0
spec_gcc_001,0.12029893276700707,0.19355359015027243,-0.260759697841332,-0.10618565015188008
spec_gcc_002,0.0,0.0,0.0,0.0
spec_gcc_003,0.0,0.0,0.0,0.0
spec_gobmk_001,0.003506360538007789,-0.002805088430415574,0.007713993183638935,0.002805088430415574
spec_gobmk_002,-0.017734164868630567,-0.007684804776412705,-0.008275943605357432,-0.007093665947454852
spec_perlbench_001,0.020478226826464187,0.010239113413225406,0.017466722881401036,0.01686442209238306
spec_x264_001,0.0,0.0,0.0,0.0
