Trace,lru,opt,srrip,hwc 80 50 curr hotter,hwc 80 50 curr hotter lru
client_001,1.53552,1.53552,1.53552,1.53552,1.53552
client_002,1.82178,1.82174,1.82178,1.82176,1.82178
client_003,1.10429,1.10642,1.10635,1.10523,1.10594
client_004,1.45151,1.45705,1.45302,1.44397,1.44686
client_005,1.35373,1.35672,1.35587,1.36046,1.3641
client_006,1.46435,1.46435,1.46435,1.46435,1.46435
client_007,1.53642,1.53619,1.53787,1.53405,1.53445
client_008,1.51158,1.51261,1.51171,1.51439,1.51231
server_001,1.51112,1.51098,1.51117,1.51105,1.51108
server_002,1.38261,1.38261,1.38261,1.38261,1.38261
server_003,1.37023,1.37177,1.3679,1.37485,1.38112
server_004,1.05775,1.0656,1.06047,1.06208,1.0642
server_009,1.11573,1.11689,1.1121,1.11996,1.12008
server_010,1.36187,1.32681,1.36385,1.36549,1.36545
server_011,1.6569,1.66588,1.65918,1.65253,1.65947
server_012,1.90467,1.90973,1.90751,1.91162,1.91101
server_013,1.81951,1.83408,1.82633,1.83907,1.83667
server_014,1.42326,1.42401,1.42339,1.42386,1.42351
server_015,1.48474,1.48474,1.48474,1.48474,1.48474
server_016,1.85574,1.85574,1.85574,1.85574,1.85574
server_017,0.414121,0.414165,0.414165,0.414165,0.414165
server_018,0.423425,0.423425,0.423425,0.423425,0.423425
server_019,0.40707,0.407122,0.407122,0.407122,0.407122
server_020,0.426659,0.426659,0.426659,0.426659,0.426659
server_021,0.430375,0.430375,0.430375,0.430375,0.430375
server_022,0.431864,0.431864,0.431864,0.431864,0.431864
server_023,1.66884,1.66884,1.66884,1.66884,1.66884
server_024,1.6367,1.6367,1.6367,1.6367,1.6367
server_025,1.62791,1.62791,1.62791,1.62791,1.62791
server_026,1.62345,1.62345,1.62345,1.62345,1.62345
server_027,1.61424,1.61424,1.61424,1.61424,1.61424
server_028,1.53557,1.53557,1.53557,1.53557,1.53557
server_029,1.51549,1.51549,1.51549,1.51549,1.51549
server_030,1.59908,1.59908,1.59908,1.59908,1.59908
server_031,1.49432,1.49432,1.49432,1.49432,1.49432
server_032,1.61641,1.61641,1.61641,1.61641,1.61641
server_033,1.72669,1.72669,1.72669,1.72669,1.72669
server_034,1.83106,1.83106,1.83106,1.83106,1.83106
server_035,1.33408,1.33408,1.33408,1.33408,1.33408
server_036,1.74475,1.74497,1.74497,1.74497,1.74497
server_037,1.74001,1.74001,1.74001,1.74001,1.74001
server_038,1.74469,1.74469,1.74469,1.74469,1.74469
server_039,1.66686,1.66686,1.66686,1.66686,1.66686
spec_gcc_001,1.48909,1.49068,1.49033,1.47714,1.49016
spec_gcc_002,0.228208,0.228208,0.228208,0.228208,0.228208
spec_gcc_003,0.261273,0.261273,0.261273,0.261273,0.261273
spec_gobmk_001,1.42592,1.42609,1.42593,1.42607,1.42605
spec_gobmk_002,1.69157,1.69139,1.69152,1.69154,1.69153
spec_perlbench_001,1.66057,1.66071,1.66054,1.66068,1.66068
spec_x264_001,3.1693,3.1693,3.1693,3.1693,3.1693
