Trace,lru,opt,srrip,hwc 80 50 curr hotter,hwc 80 50 curr hotter lru
client_001,1.53552,1.53552,1.53552,1.53552,1.53552
client_002,1.82134,1.82106,1.82186,1.82209,1.82139
client_003,1.10384,1.10476,1.10424,1.10495,1.10592
client_004,1.45066,1.46068,1.45199,1.44585,1.45122
client_005,1.3529,1.35877,1.35478,1.36008,1.36377
client_006,1.46412,1.46392,1.46402,1.46421,1.46384
client_007,1.53774,1.53473,1.53611,1.53423,1.53351
client_008,1.51122,1.51331,1.51154,1.5135,1.51218
server_001,1.50587,1.50939,1.50808,1.50803,1.50945
server_002,1.38262,1.38261,1.38262,1.38261,1.38261
server_003,1.36178,1.37922,1.36201,1.36932,1.37422
server_004,1.04742,1.0643,1.056,1.05988,1.06149
server_009,1.10818,1.11452,1.1106,1.11634,1.11729
server_010,1.34743,1.36224,1.35631,1.36105,1.3608
server_011,1.6342,1.66099,1.64476,1.64703,1.64972
server_012,1.87456,1.90385,1.89086,1.90135,1.90163
server_013,1.79705,1.82743,1.8103,1.82272,1.82429
server_014,1.42016,1.42372,1.42152,1.42297,1.42179
server_015,1.48475,1.48474,1.48475,1.48474,1.48474
server_016,1.85568,1.85574,1.8557,1.85574,1.85574
server_017,0.414121,0.414165,0.414165,0.414165,0.414165
server_018,0.423425,0.423425,0.423425,0.423425,0.423425
server_019,0.407122,0.407122,0.407122,0.407122,0.407122
server_020,0.426659,0.426659,0.426659,0.426659,0.426659
server_021,0.430375,0.430375,0.430375,0.430375,0.430375
server_022,0.431864,0.431864,0.431864,0.431864,0.431864
server_023,1.6686,1.6687,1.66867,1.66882,1.66881
server_024,1.6367,1.6367,1.6367,1.6367,1.6367
server_025,1.62788,1.62791,1.62789,1.62791,1.62791
server_026,1.62345,1.62345,1.62345,1.62345,1.62345
server_027,1.61427,1.61425,1.61425,1.61425,1.61425
server_028,1.53557,1.53557,1.53557,1.53557,1.53557
server_029,1.51548,1.51549,1.51549,1.51549,1.51549
server_030,1.59908,1.59908,1.59908,1.59908,1.59908
server_031,1.49428,1.49432,1.49432,1.49432,1.49432
server_032,1.61641,1.61641,1.61641,1.61641,1.61641
server_033,1.72669,1.72669,1.72669,1.72669,1.72669
server_034,1.83106,1.83106,1.83106,1.83106,1.83106
server_035,1.33408,1.33408,1.33408,1.33408,1.33408
server_036,1.74437,1.74494,1.74491,1.74496,1.74496
server_037,1.74001,1.74001,1.74001,1.74001,1.74001
server_038,1.74469,1.74469,1.74469,1.74469,1.74469
server_039,1.66686,1.66686,1.66686,1.66686,1.66686
spec_gcc_001,1.48988,1.49126,1.48833,1.47936,1.49002
spec_gcc_002,0.228208,0.228208,0.228208,0.228208,0.228208
spec_gcc_003,0.261273,0.261273,0.261273,0.261273,0.261273
spec_gobmk_001,1.42597,1.42597,1.42601,1.42605,1.42602
spec_gobmk_002,1.69157,1.69133,1.69149,1.69152,1.69152
spec_perlbench_001,1.6597,1.6604,1.65973,1.66035,1.66023
spec_x264_001,3.1693,3.1693,3.1693,3.1693,3.1693
